title,season,episode_number,air_date,month,year,colors,subjects,image_link,youtube_link,notes
Snow Trail,6,6,1985-06-05,June,1985,"Alizarin Crimson, Burnt Umber, Cadmium Yellow, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, GRASS, SNOW, TREE, TREES",https://www.twoinchbrush.com/images/painting222.png,https://www.youtube.com/embed/n9EsFFtwZnE,
Arctic Beauty,6,7,1985-06-12,June,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting223.png,https://www.youtube.com/embed/UQ-RTZCOQn0,
Horizons West,6,8,1985-06-19,June,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Prussian Blue, Titanium White, Van Dyke Brown","BUSHES, CONIFER, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting224.png,https://www.youtube.com/embed/m6UM-rN2D6s,
High Chateau,6,9,1985-06-26,June,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CLOUDS, CONIFER, CUMULUS, GRASS, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting225.png,https://www.youtube.com/embed/dafH8ks9Zww,
Country Life,6,10,1985-07-02,July,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, CIRRUS, CLOUDS, FENCE, GRASS",https://www.twoinchbrush.com/images/painting226.png,https://www.youtube.com/embed/j8Jf7QVKLgQ,
Western Expanse,6,11,1985-07-09,July,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, TREE",https://www.twoinchbrush.com/images/painting227.png,https://www.youtube.com/embed/MTInkV5ODjk,
Marshlands,6,12,1985-07-16,July,1985,"Alizarin Crimson, Black Gesso, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, DECIDUOUS, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting228.png,https://www.youtube.com/embed/Ugiwi8uizpg,
Blaze of Color,6,13,1985-07-23,July,1985,"Alizarin Crimson, Bright Red, Burnt Umber, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting229.png,https://www.youtube.com/embed/se7wOprxRGs,
Winter Cabin,7,1,1985-10-02,October,1985,"Bright Red, Dark Sienna, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, DECIDUOUS, SNOW, STRUCTURE, TREE, WINTER",https://www.twoinchbrush.com/images/painting203.png,https://www.youtube.com/embed/kdlHV6ceI_gw,
Secluded Lake,7,2,1985-10-09,October,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, DECIDUOUS, GRASS, LAKE, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting204.png,https://www.youtube.com/embed/2OxSJcFvpoU,
Evergreen at Sunset,7,3,1985-10-16,October,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Sap Green, Titanium White","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, RIVER, SUN, TREE, TREES",https://www.twoinchbrush.com/images/painting205.png,https://www.youtube.com/embed/YQPEy3hYGo8,
Mountain Cabin,7,4,1985-10-23,October,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting206.png,https://www.youtube.com/embed/E3IAMvO8GyM,
Portrait of Sally,7,5,1985-10-30,October,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Phthalo Blue, Titanium White, Yellow Ochre","GUEST, PORTRAIT",https://www.twoinchbrush.com/images/painting208.png,https://www.youtube.com/embed/MHJB0IBnuD4,
Misty Waterfall,7,6,1985-11-06,November,1985,"Alizarin Crimson, Bright Red, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, LAKE, RIVER, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting209.png,https://www.youtube.com/embed/530_cVmexiI,
Barn at Sunset,7,7,1985-11-13,November,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BARN, CLOUDS, CUMULUS, DECIDUOUS, PATH, SNOW, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting210.png,https://www.youtube.com/embed/WT6n0K2zGnA,
Mountain Splendor,7,8,1985-11-20,November,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting211.png,https://www.youtube.com/embed/GhOGZMpPUSE,
Lake by Mountain,7,9,1985-11-27,November,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",https://www.twoinchbrush.com/images/painting212.png,https://www.youtube.com/embed/yAiYirlcq7o,
Mountain Glory,7,10,1985-12-06,December,1985,"Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting213.png,https://www.youtube.com/embed/0M9pwLHRR2c,
Grey Winter,7,11,1985-12-13,December,1985,"Alizarin Crimson, Midnight Black, Titanium White","BUSHES, CLOUDS, LAKE, SNOW, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting214.png,https://www.youtube.com/embed/sS-hNYgDUak,
Dock Scene,7,12,1985-12-20,December,1985,"Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BOAT, CLOUDS, CUMULUS, DECIDUOUS, DOCK, LAKE, STRUCTURE, TREE",https://www.twoinchbrush.com/images/painting215.png,https://www.youtube.com/embed/4KYxkqlzyqM,
Dark Waterfall,7,13,1985-12-27,December,1985,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, RIVER, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting216.png,https://www.youtube.com/embed/VqMbL00eZqw,
Misty Rolling Hills,8,1,1986-01-02,January,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, FOG, GRASS, MOUNTAIN, MOUNTAINS, TREE, TREES",https://www.twoinchbrush.com/images/painting190.png,https://www.youtube.com/embed/cC5ozePVKGI,
Lakeside Cabin,8,2,1986-01-09,January,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CABIN, CIRCLE_FRAME, CLOUDS, DECIDUOUS, FRAMED, GRASS, LAKE, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting191.png,https://www.youtube.com/embed/CP6_5cQVZvQ,
Warm Winter Day,8,3,1986-01-16,January,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, GRASS, SNOW, STRUCTURE, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting192.png,https://www.youtube.com/embed/mUJoNLWQ1yI,
Waterside Way,8,4,1986-01-23,January,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, TREE, TREES",https://www.twoinchbrush.com/images/painting193.png,https://www.youtube.com/embed/uj5FE70BcB0,
Hunter's Haven,8,5,1986-01-30,January,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, PATH, RIVER, ROCKS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting194.png,https://www.youtube.com/embed/Da4SPyh1ATM,
Bubbling Mountain Brook,8,6,1986-02-06,February,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting195.png,https://www.youtube.com/embed/U2_SKgM3f4A,
Winter Hideaway,8,7,1986-02-13,February,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CONIFER, DECIDUOUS, FENCE, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting196.png,https://www.youtube.com/embed/19oz9XHZNzA,
Foot of the Mountain,8,8,1986-02-20,February,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting197.png,https://www.youtube.com/embed/cIUBUc_ITBc,
Majestic Pine,8,9,1986-02-27,February,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, FRAMED, RECTANGULAR_FRAME, TREE, TREES",https://www.twoinchbrush.com/images/painting198.png,https://www.youtube.com/embed/x5CoQj9zr-c,
Cactus at Sunset,8,10,1986-03-06,March,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Titanium White, Van Dyke Brown, Yellow Ochre","CACTUS, CLOUDS, PATH, ROCKS",https://www.twoinchbrush.com/images/painting199.png,https://www.youtube.com/embed/XBqD3QhKU24,
Mountain Range,8,11,1986-03-13,March,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Indian Yellow, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",https://www.twoinchbrush.com/images/painting200.png,https://www.youtube.com/embed/V_l6olF3yHI,
Lonely Retreat,8,12,1986-03-20,March,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CONIFER, SNOW, STRUCTURE, TREE, WINTER",https://www.twoinchbrush.com/images/painting201.png,https://www.youtube.com/embed/qTDQt_PdlYc,
Northern Lights,8,13,1986-03-27,March,1986,"Alizarin Crimson, Black Gesso, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Titanium White, Van Dyke Brown","AURORA_BOREALIS, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, NIGHT, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting202.png,https://www.youtube.com/embed/vgbMONXc9Cs,
Winter Evergreens,9,1,1986-04-30,April,1986,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting177.png,https://www.youtube.com/embed/O6L5YPt9CeU,
Surf's Up,9,2,1986-05-07,May,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CLIFF, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting178.png,https://www.youtube.com/embed/ZKxFvyyOBPQ,
Red Sunset,9,3,1986-05-14,May,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, LAKE, TREE, TREES",https://www.twoinchbrush.com/images/painting179.png,https://www.youtube.com/embed/e5JhYi_G-l0,
Meadow Road,9,4,1986-05-21,May,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting180.png,https://www.youtube.com/embed/u5VT_WGM0kg,
Winter Oval,9,5,1986-05-28,May,1986,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","BUSHES, CABIN, CONIFER, FOG, FRAMED, MOUNTAIN, OVAL_FRAME, RIVER, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting181.png,https://www.youtube.com/embed/pYWiLm_-sXw,
Secluded Beach,9,6,1986-06-04,June,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting182.png,https://www.youtube.com/embed/WGUcw_kFvzU,
Forest Hills,9,7,1986-06-11,June,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting183.png,https://www.youtube.com/embed/E3XW_Zp238U,
Little House by the Road,9,8,1986-06-18,June,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, DECIDUOUS, FENCE, MOUNTAIN, PATH, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting184.png,https://www.youtube.com/embed/3CDg_9gL-5M,
Mountain Pass,9,9,1986-06-25,June,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting185.png,https://www.youtube.com/embed/e0VUprkc1n0,
Country Charm,9,10,1986-07-02,July,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre",,https://www.twoinchbrush.com/images/painting186.png,https://www.youtube.com/embed/9wp8NRzCJnw,
Nature's Paradise,9,11,1986-07-09,July,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CUMULUS, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",https://www.twoinchbrush.com/images/painting187.png,https://www.youtube.com/embed/7yU55PUls2c,
Mountain by the Sea,9,12,1986-07-16,July,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, BUSHES, CLOUDS, CUMULUS, DECIDUOUS, MOUNTAIN, OCEAN, SNOWY_MOUNTAIN, TREE, WAVES",https://www.twoinchbrush.com/images/painting188.png,https://www.youtube.com/embed/so--opB-yuQ,
Mountain Hideaway,9,13,1986-07-23,July,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting189.png,https://www.youtube.com/embed/q48EWPrbzVs,
Towering Peaks,10,1,1986-09-03,September,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, HILLS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting163.png,https://www.youtube.com/embed/1s58rW0_LN4,
Cabin at Sunset,10,2,1986-09-10,September,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CONIFER, FENCE, GRASS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting164.png,https://www.youtube.com/embed/a6Wil3OXNuI,
Twin Falls,10,3,1986-09-17,September,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, DECIDUOUS, GRASS, HILLS, RIVER, ROCKS, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting165.png,https://www.youtube.com/embed/cMwkY8ojRik,
Secluded Bridge,10,4,1986-09-24,September,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BRIDGE, DECIDUOUS, RIVER, ROCKS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting166.png,https://www.youtube.com/embed/vrAMRxBB5KI,
Ocean Breeze,10,5,1986-10-01,October,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Phthalo Green, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CUMULUS, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting167.png,https://www.youtube.com/embed/XZmdzfvXRuw,
Autumn Woods,10,6,1986-10-08,October,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, CONIFER, CUMULUS, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting168.png,https://www.youtube.com/embed/vKyMU5Z8cDI,
Winter Solitude,10,7,1986-10-15,October,1986,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Phthalo Blue, Titanium White, Van Dyke Brown","BUSHES, DECIDUOUS, SNOW, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting170.png,https://www.youtube.com/embed/ov4YaCQB9co,
Golden Sunset,10,8,1986-10-22,October,1986,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","DECIDUOUS, LAKE, SNOW, SUN, TREE, TREES",https://www.twoinchbrush.com/images/painting171.png,https://www.youtube.com/embed/CiNDyckERXQ,
Mountain Oval,10,9,1986-10-29,October,1986,"Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CIRRUS, CLOUDS, CONIFER, DECIDUOUS, FRAMED, GUEST, LAKE, MOUNTAIN, MOUNTAINS, OVAL_FRAME, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",https://www.twoinchbrush.com/images/painting172.png,https://www.youtube.com/embed/Qj6lMtnCt8o,
Ocean Sunset,10,10,1986-11-05,November,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Liquid Clear, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown, Yellow Ochre","BEACH, CLOUDS, OCEAN, ROCKS, WAVES",https://www.twoinchbrush.com/images/painting173.png,https://www.youtube.com/embed/OJ_xqtvZf3o,
Triple View,10,11,1986-11-12,November,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CONIFER, DECIDUOUS, FRAMED, GRASS, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, TRIPLE_FRAME",https://www.twoinchbrush.com/images/painting174.png,https://www.youtube.com/embed/zoTeyliLn5o,
Winter Frost,10,12,1986-11-19,November,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Midnight Black, Phthalo Blue, Prussian Blue, Titanium White, Van Dyke Brown","CLOUDS, CONIFER, DECIDUOUS, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SUN, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting175.png,https://www.youtube.com/embed/8satX-hLkuI,
Lakeside Cabin,10,13,1986-11-26,November,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CABIN, CLOUDS, CUMULUS, DECIDUOUS, GRASS, LAKE, PATH, ROCKS, STRUCTURE, TREE, TREES",https://www.twoinchbrush.com/images/painting176.png,https://www.youtube.com/embed/1l_TsfCIb_I,
Mountain Stream,11,1,1986-12-31,December,1986,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, GRASS, MOUNTAIN, RIVER, SNOWY_MOUNTAIN, TREE, TREES",https://www.twoinchbrush.com/images/painting150.png,https://www.youtube.com/embed/xdFCj6BzQio,
Country Cabin,11,2,1987-01-07,January,1987,"Alizarin Crimson, Bright Red, Dark Sienna, Midnight Black, Prussian Blue, Titanium White, Van Dyke Brown","BUSHES, CABIN, CLOUDS, CONIFER, DECIDUOUS, SNOW, STRUCTURE, TREE, TREES, WINTER",https://www.twoinchbrush.com/images/painting151.png,https://www.youtube.com/embed/Dkww2nHpuZw,
Daisy Delight,11,3,1987-01-14,January,1987,"Alizarin Crimson, Cadmium Yellow, Dark Sienna, Liquid Clear, Midnight Black, Phthalo Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CONIFER, FENCE, FLOWERS, TREE, TREES",https://www.twoinchbrush.com/images/painting152.png,https://www.youtube.com/embed/HuHC1RqtvDA,
Hidden Stream,11,4,1987-01-21,January,1987,"Alizarin Crimson, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Phthalo Blue, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","BUSHES, CLOUDS, DECIDUOUS, RIVER, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting153.png,https://www.youtube.com/embed/JGzTg8fCj4w,
Towering Glacier,11,5,1987-01-28,January,1987,"Alizarin Crimson, Black Gesso, Bright Red, Cadmium Yellow, Dark Sienna, Indian Yellow, Midnight Black, Prussian Blue, Sap Green, Titanium White, Van Dyke Brown, Yellow Ochre","CLOUDS, CONIFER, CUMULUS, GRASS, MOUNTAIN, RIVER, ROCKS, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",https://www.twoinchbrush.com/images/painting154.png,https://www.youtube.com/embed/67vdGbA3Xkg,
